┌─────────┬───────────┬───────────────┬────────────────┬───────────┬──────────┬────────────────────┬───────────────┬───────────┬─────────┬──────────┬────────────────────┬─────────────────────────┬───────────────────┐
│ (index) │  ticker   │    sector     │      figi      │  volMax   │  volMin  │        avg         │       t       │    med    │   lot   │  price   │       total        │ total_minPriceIncrement │ minPriceIncrement │
│   84    │  'LENT'   │  'consumer'   │ 'BBG0063FKTD9' │  209330   │  13397   │ 53131.71428571428  │   28273154    │   36862   │    1    │   767    │        767         │           0.5           │        0.5        │
│   85    │  'GCHE'   │  'consumer'   │ 'BBG000RTHVK7' │   39143   │   2035   │ 12756.285714285714 │   26821872    │   8496    │    1    │   3157   │        3157        │           0.5           │        0.5        │
│   86    │  'AQUA'   │  'consumer'   │ 'BBG000W325F7' │  825315   │  28069   │ 186446.7619047619  │   65264012    │  108053   │    1    │   604    │        604         │           0.5           │        0.5        │
│   87    │  'BLNG'   │  'materials'  │ 'BBG000VQWH86' │  571739   │   4572   │ 87474.80952380953  │   83983572    │   30248   │   100   │  27.765  │       2776.5       │           0.5           │       0.005       │
│   88    │  'MSNG'   │  'utilities'  │ 'BBG004S687W8' │  751917   │  14432   │ 87604.61904761905  │   89145652    │   37036   │  1000   │  2.407   │        2407        │           0.5           │      0.0005       │
│   89    │  'TATNP'  │   'energy'    │ 'BBG004S68829' │  1131621  │   1900   │ 377697.6785714286  │  179323641.5  │  437695   │    1    │  409.7   │       409.7        │           0.1           │        0.1        │
│   90    │  'SNGS'   │   'energy'    │ 'BBG0047315D0' │  1094959  │   344    │ 293132.46428571426 │   629140200   │  246480   │   100   │  25.525  │       2552.5       │           0.5           │       0.005       │
│   91    │  'TGKA'   │  'utilities'  │ 'BBG000QFH687' │  342926   │  18158   │ 121541.14285714286 │  80736449.2   │   86963   │ 100000  │ 0.009284 │ 928.4000000000001  │   0.19999999999999998   │     0.000002      │
│   92    │  'VKCO'   │     'it'      │ 'BBG00178PGX3' │  1690649  │   9411   │ 550595.6071428572  │  235919252.7  │ 493348.5  │    1    │  478.2   │       478.2        │           0.2           │        0.2        │
│   93    │  'RNFT'   │   'energy'    │ 'BBG00F9XX7H4' │ 48167014  │  25179   │ 7707258.714285715  │ 315303891.95  │ 2253780.5 │    1    │  139.9   │       139.9        │           0.2           │        0.2        │
│   94    │  'AKRN'   │  'materials'  │ 'BBG004S688G4' │   59084   │    22    │ 5559.107142857143  │   52720494    │  2730.5   │    1    │  19308   │       19308        │            2            │         2         │
│   95    │  'AGRO'   │  'consumer'   │ 'BBG007N0Z367' │  469153   │   1547   │       118318       │  68638085.6   │  86315.5  │    1    │  795.2   │       795.2        │           0.2           │        0.2        │
│   96    │  'KMAZ'   │ 'industrials' │ 'BBG000LNHHJ9' │  5103451  │   512    │ 402004.64285714284 │   151498000   │   89750   │   10    │  168.8   │        1688        │            1            │        0.1        │
│   97    │  'CIAN'   │     'it'      │ 'BBG012YQ6P43' │  788057   │  34440   │ 137974.66666666666 │  40693687.2   │   79542   │    1    │  511.6   │       511.6        │           0.2           │        0.2        │
│   98    │  'OGKB'   │  'utilities'  │ 'BBG000RK52V1' │  1000942  │  79142   │ 205074.90476190476 │   117601848   │  167524   │  1000   │  0.702   │        702         │           0.1           │      0.0001       │
│   99    │  'RSTI'   │  'utilities'  │ 'BBG004S682J4' │ -Infinity │ Infinity │        NaN         │       0       │     0     │  1000   │  0.5588  │       558.8        │           0.1           │      0.0001       │
│   100   │  'TATN'   │   'energy'    │ 'BBG004RVFFC0' │  5080691  │   9855   │ 1873130.0357142857 │   888778268   │  2173052  │    1    │   409    │        409         │           0.1           │        0.1        │
│   101   │  'PMSBP'  │  'utilities'  │ 'BBG000MZL2S9' │   72106   │   1245   │ 10322.952380952382 │    4598988    │   2631    │   10    │  174.8   │        1748        │            2            │        0.2        │
│   102   │  'RTKM'   │   'telecom'   │ 'BBG004S682Z6' │  301003   │   495    │ 121693.17857142857 │  84395903.1   │ 132406.5  │   10    │  63.74   │       637.4        │           0.1           │       0.01        │
│   103   │  'VSMO'   │  'materials'  │ 'BBG004S68CV8' │   61303   │   203    │ 5644.476190476191  │   44360640    │    844    │    1    │  52560   │       52560        │           20            │        20         │
│   104   │  'MVID'   │  'consumer'   │ 'BBG004S68CP5' │  1650157  │   3329   │ 500393.64285714284 │  73514947.8   │  357042   │    1    │  205.9   │       205.9        │           0.1           │        0.1        │
│   105   │  'ROLO'   │  'materials'  │ 'BBG004Z2RGW8' │  466342   │  27445   │ 94489.66666666667  │  5332361.95   │   67541   │   100   │  0.7895  │       78.95        │           0.5           │       0.005       │
│   106   │  'PIKK'   │ 'real_estate' │ 'BBG004S68BH6' │  572406   │   2239   │ 168334.57142857142 │   101641998   │ 146881.5  │    1    │   692    │        692         │           0.1           │        0.1        │
│   107   │  'NLMK'   │  'materials'  │ 'BBG004S681B4' │  1535715  │   1521   │ 403031.28571428574 │   427584192   │  309440   │   10    │  138.18  │ 1381.8000000000002 │           0.2           │       0.02        │
│   108   │  'TGKN'   │  'utilities'  │ 'BBG000RG4ZQ4' │  103495   │   1235   │       14386        │   19857960    │   4086    │ 1000000 │ 0.00486  │        4860        │           10            │      0.00001      │
│   109   │  'TRNFP'  │   'energy'    │ 'BBG00475KHX6' │   25169   │    18    │ 4034.6785714285716 │   323894025   │  2636.5   │    1    │  122850  │       122850       │           50            │        50         │
│   110   │  'MTSS'   │   'telecom'   │ 'BBG004S681W1' │  493499   │   753    │ 174327.7142857143  │   527772930   │  196710   │   10    │  268.3   │        2683        │           0.5           │       0.05        │
│   111   │  'KROT'   │  'consumer'   │ 'BBG000NLB2G3' │   38221   │   280    │ 5459.142857142857  │   34428810    │   1677    │   10    │   2053   │       20530        │            5            │        0.5        │
│   112   │  'LSRG'   │ 'real_estate' │ 'BBG004S68C39' │  971151   │  20165   │ 141959.90476190476 │  30744469.2   │   54686   │    1    │  562.2   │       562.2        │           0.2           │        0.2        │
│   113   │  'YAKG'   │   'energy'    │ 'BBG002B298N6' │   25567   │   2344   │ 8057.619047619048  │    5416948    │   4306    │   10    │  125.8   │        1258        │           0.5           │       0.05        │
│   114   │  'SNGSP'  │   'energy'    │ 'BBG004S681M2' │  877600   │   383    │ 191289.82142857142 │  525285337.5  │ 147262.5  │   100   │  35.67   │        3567        │           0.5           │       0.005       │
│   115   │  'NMTP'   │ 'industrials' │ 'BBG004S68BR5' │  3408913  │  45283   │ 376981.90476190473 │   117648534   │  159092   │   100   │  7.395   │       739.5        │           0.5           │       0.005       │
│   116   │  'MAGN'   │  'materials'  │ 'BBG004S68507' │  5148333  │   5842   │ 1699544.0714285714 │ 695435126.45  │  1704289  │   10    │  40.805  │       408.05       │          0.05           │       0.005       │
│   117   │  'LSNGP'  │  'utilities'  │ 'BBG000NLCCM3' │  148876   │  10865   │ 34748.76190476191  │   32894168    │   21698   │   10    │  151.6   │        1516        │           0.5           │       0.05        │
│   118   │  'LNZLP'  │  'materials'  │ 'BBG000SR0YS4' │  432598   │   4847   │ 60315.333333333336 │   104049330   │   30513   │    1    │   3410   │        3410        │            5            │         5         │
│   119   │  'SIBN'   │   'energy'    │ 'BBG004S684M6' │  1388445  │   1775   │       360904       │  197874861.5  │  390671   │    1    │  506.5   │       506.5        │          0.05           │       0.05        │
│   120   │  'NKNCP'  │  'materials'  │ 'BBG000GQSVC2' │  138968   │  15314   │ 48797.71428571428  │  33336104.6   │   35039   │   10    │  95.14   │       951.4        │           0.2           │       0.02        │
│   121   │  'DVEC'   │  'utilities'  │ 'BBG000V07CB8' │  249382   │   1681   │ 26296.85714285714  │   21320220    │   12253   │  1000   │   1.74   │        1740        │            1            │       0.001       │
│   122   │  'NSVZ'   │   'telecom'   │ 'BBG002BCQK67' │   99230   │   1523   │ 20588.095238095237 │   21125300    │   7210    │   10    │   293    │        2930        │            5            │        0.5        │
│   123   │  'RENI'   │  'financial'  │ 'BBG00QKJSX05' │  565351   │  25269   │ 135790.61904761905 │  58635755.6   │   88654   │   10    │  66.14   │       661.4        │           0.1           │       0.01        │
│   124   │  'TGKBP'  │  'utilities'  │ 'BBG000Q7GJ60' │   34836   │   889    │ 8145.666666666667  │    3985200    │   3600    │ 100000  │ 0.01107  │        1107        │            1            │      0.00001      │
│   125   │  'NVTK'   │   'energy'    │ 'BBG00475KKY8' │  2430271  │   5488   │       957873       │  1450914873   │ 1106217.5 │    1    │  1311.6  │       1311.6       │           0.2           │        0.2        │
│   126   │  'TGKD'   │  'utilities'  │ 'BBG000F6H7K3' │ -Infinity │ Infinity │        NaN         │       0       │     0     │ 100000  │ 0.012945 │       1294.5       │           0.5           │     0.000005      │
│   127   │  'MTLR'   │  'materials'  │ 'BBG004S68598' │ 40727914  │  19945   │ 8559713.964285715  │ 1331470313.1  │  6764570  │    1    │  196.83  │       196.83       │          0.01           │       0.01        │
│   128   │  'RKKE'   │ 'industrials' │ 'BBG000LWNRP3' │   58320   │   354    │ 6955.0952380952385 │   23408350    │   1423    │    1    │  16450   │       16450        │           10            │        10         │
│   129   │  'MRKS'   │  'utilities'  │ 'BBG000VJMH65' │   43171   │   805    │ 4097.619047619048  │    6891780    │   1883    │  10000  │  0.366   │        3660        │            5            │      0.0005       │
│   130   │  'ORUP'   │  'consumer'   │ 'BBG001BBGNS2' │  8048104  │  139988  │ 1413133.5714285714 │   42327400    │  423274   │   10    │    10    │        100         │           0.2           │       0.02        │
